name,nameraw
Marta Loe,Marta Loe
Miluska,Miluska
Jonathan Kaspar,Jonathan Kaspar
Constanza Pucheta,Constanza Pucheta
Odd Mob,Odd Mob
The Brothers Macklovitch,The Brothers Macklovitch
Fleur Shore,Fleur Shore (all night long)
The Menedez Brothers,The Menedez Brothers
Pascha House,Pascha House
Brian Smith,Brian Smith
Freddie Lineker,Freddie Lineker
Harry Collett,Harry Collett
Josh Edwards,Josh Edwards
Chaka Khan,Chaka Khan (live PA)
Ted Petterson,Ted Petterson
Manu Sanchez,Manu Sanchez
U.R.Trax,U.R.Trax
Âme,Âme (DJ set)
Dom Dolla,Dom Dolla
Gaskin B2B L.P. Rhythm,Gaskin B2B L.P. Rhythm
James View,James View
Rennie Peters,Rennie Peters
Luvstruck,Luvstruck
Holly Hutchinson,Holly Hutchinson
Rebūke,Rebūke
Riordan,Riordan
Simula,Simula
Issey Cross,Issey Cross
Hannah Wants B2B Lee Foss,Hannah Wants B2B Lee Foss
Tom & Collins,Tom & Collins
Smyths,Smyths
Scenarios,"Scenarios (Maga, Sean Doron & Tim Engelhardt)"
Mauro Picotto,Mauro Picotto
Fionn Curran,Fionn Curran
Shortee Blitz,Shortee Blitz
Jamie Jones B2B Nic Fanciulli,Jamie Jones B2B Nic Fanciulli
Max Dean,Max Dean
Sidney Charles,Sidney Charles
Rossi.,Rossi.
M-High,M-High
Ahmed Spins,Ahmed Spins
Regard,Regard
Goom Gum,Goom Gum
Shouse,Shouse
Alle Farben,Alle Farben
Ferry Corsten,Ferry Corsten
Ciaran McAuley,Ciaran McAuley
Eli,Eli
Khadejia,Khadejia
James Hype B2B Tita Lau,James Hype B2B Tita Lau
deadmau5,deadmau5
James Zabiela,James Zabiela
William Djoko,William Djoko
Joeski,Joeski
De La Swing B2B Caal,De La Swing B2B Caal
Dombresky,Dombresky
N!do,N!do
Rendher B2B Ale de Tuglie,Rendher B2B Ale de Tuglie
Manda Moor,Manda Moor (all night long)
Sfera Ebbasta,Sfera Ebbasta (live PA)
Nathan Woods,Nathan Woods
Blimey O'Reilly,Blimey O'Reilly
Motive DJs,Motive DJs
Aline Roche,Aline Roche
David Morales,David Morales
Norman Jay MBE,Norman Jay MBE
Eats Everything B2B Dan Shake,Eats Everything B2B Dan Shake
Larse,Larse
Make A Dance,Make A Dance
Enrico Sangiuliano,Enrico Sangiuliano
Mar-T B2B Luca Donzelli,Mar-T B2B Luca Donzelli
Swedish House Mafia,Swedish House Mafia
Ben Rau,Ben Rau
George Smeddles,George Smeddles
Jenn Getz & Alfie,Jenn Getz & Alfie
Sîan Owen,Sîan Owen
Dance System,Dance System
Van Damm,Van Damm
Robin M,Robin M
Paisley Jensen,Paisley Jensen 
Interplanetary Criminal B2B Main Phase,Interplanetary Criminal B2B Main Phase
Lu.Re,Lu.Re
S.P.Y.,S.P.Y.
Kara,Kara
T-Lex,T-Lex
House Gospel Choir,House Gospel Choir
Junior Sanchez,Junior Sanchez
Boys Noize B2B andhim,Boys Noize B2B andhim
Hitty,Hitty
J.Worra,J.Worra
Jason Cluff,Jason Cluff
Part Time Killer,Part Time Killer
Sikoti,Sikoti
Jamie Jones B2B The Martinez Brothers,Jamie Jones B2B The Martinez Brothers
Rich NxT B2B Rossko,Rich NxT B2B Rossko
Acid Pauli,Acid Pauli
LUM,LUM
Viken Arman,Viken Arman
NERVO,NERVO
Paul Thomas,Paul Thomas
Siskin,Siskin
Mercedes Benson,Mercedes Benson
Mathame,Mathame
Prophecy,Prophecy
Brenda Serna,Brenda Serna 
Chris Liebing,Chris Liebing 
Dax J,Dax J 
Fatima Hajji,Fatima Hajji 
Mörda,Mörda
Mike Starr,Mike Starr
Olive F,Olive F
Flight Facilities,Flight Facilities
Serenade,Serenade
Maxwell,Maxwell
Verdi,Verdi
Jayden Fugl,Jayden Fugl
Home Of House DJs,Home Of House DJs
Grant Nelson,Grant Nelson
Anna Collecta,Anna Collecta
Dee Diggs,Dee Diggs
Michael Gray,Michael Gray
Maher Daniel,Maher Daniel
Ricardo Villalobos,Ricardo Villalobos
Sonja Moonear,Sonja Moonear
Traumer,Traumer
Cera Khin,Cera Khin
Juliet Fox,Juliet Fox
Jakkob,Jakkob
James Poole,James Poole
Ryan Resso,Ryan Resso
Dart,Dart
Aik,Aik
Gina Jeanz,Gina Jeanz
Joe Kadhim,Joe Kadhim
Ben Elding,Ben Elding
DJ EZ,DJ EZ 
DRIIA,DRIIA 
MPH,MPH
DJ Minx,DJ Minx
Delta Heavy,Delta Heavy
A Little Sound,A Little Sound
Billy Gillies,Billy Gillies
Hannah Boleyn,Hannah Boleyn
Rara,Rara
Kyle Walker,Kyle Walker
Azyr,Azyr
Veseli,Veseli
DJ Fingerblast,DJ Fingerblast
Justin Wilkes,Justin Wilkes
Skream B2B Richy Ahmed,Skream B2B Richy Ahmed
Jasper James,Jasper James
Trikk,Trikk
Timmy Trumpet,Timmy Trumpet
Bryan Kearney,Bryan Kearney
Shugz,Shugz
Fuenka,Fuenka
Hypatron,Hypatron
Azzecca,Azzecca
Kelli-Leigh,Kelli-Leigh (live PA)
Sim0ne,Sim0ne
Jimpster,Jimpster
Mimi X Fy,Mimi X Fy
De la Swing B2B Jay de Lys,De la Swing B2B Jay de Lys
Chelina Manuhutu,Chelina Manuhutu (all night long)
Narciss,Narciss
Andrea Oliva B2B John Summit,Andrea Oliva B2B John Summit
Chloé Robinson,Chloé Robinson
Jkriv,Jkriv
KiNK,KiNK (live)
Richie Hawtin,Richie Hawtin
Aadja,Aadja
DJ Seinfeld,DJ Seinfeld
Nautica,Nautica
TDJ,TDJ 
Trance Wax,Trance Wax
Jonny Burn,Jonny Burn
Fletch,Fletch
Mick Willow,Mick Willow
Dominic Dunn,Dominic Dunn
Miguel Bastida,Miguel Bastida
P-rallel,P-rallel
Champion,Champion
Gardna,Gardna
Lens,Lens
AMA,AMA
Kelli-Leigh,Kelli-Leigh
Toyboy & Robin,Toyboy & Robin
Rio Fredrika,Rio Fredrika
Obskür,Obskür
Diego San Diego,Diego San Diego
Billy Clements,Billy Clements
Hayden James,Hayden James
ALT8,ALT8
Jamie Jones B2B Chris Stussy B2B Archie Hamilton,Jamie Jones B2B Chris Stussy B2B Archie Hamilton
Milunska,Milunska
Max Dean B2B Luke Dean,Max Dean B2B Luke Dean
Harvy Valencia,Harvy Valencia
Avangart Tabldot,Avangart Tabldot
EDX,EDX
Sean & Dee,Sean & Dee
Talla 2XLC,Talla 2XLC
Skyla Tylaa,Skyla Tylaa
Romain Garcia,Romain Garcia
Simon Doty,Simon Doty
Yotto,Yotto
Elderbrook,Elderbrook
19.26,19.26
Moullinex B2B GPU Panic,Moullinex B2B GPU Panic 
Jake Smith,Jake Smith
DJ Tennis B2B Jimi Jules,DJ Tennis B2B Jimi Jules
Soda,Soda
Audiojack,Audiojack
Manda Moor B2B Sirus Hood,Manda Moor B2B Sirus Hood
Lovefoxy,Lovefoxy
Mr V,Mr V
Mha Iri,Mha Iri
Jamie XX,Jamie XX
Brisotti,Brisotti
Hector Couto,Hector Couto
Sante Sansome,Sante Sansome
Silva City,Silva City
James Organ,James Organ
Awen,Awen
Disrupta,Disrupta
Solah,Solah
Anais,Anais
Secondcity,Secondcity
Sergio Sergi,Sergio Sergi
Claptone B2B Flight Facilities,Claptone B2B Flight Facilities
Brian Cross B2B Diego San Diego,Brian Cross B2B Diego San Diego
Alfa Romero,Alfa Romero
Mike Dunn B2B The Menedez Brothers,Mike Dunn B2B The Menedez Brothers
MELTX,MELTX
Moduse,Moduse
Ellie Prohan,Ellie Prohan
DJ Q,DJ Q
Lee Foss,Lee Foss
Jonas Blue,Jonas Blue
SASH!,SASH! (DJ set)
Dale Castell,Dale Castell
Charlie Sparks,Charlie Sparks 
Estella Boersma,Estella Boersma 
Space 92 x Popof present Turbulences,Space 92 x Popof present Turbulences
Christina Molina,Christina Molina
Ismael Baraka,Ismael Baraka
Jose Rives,Jose Rives
Michel Cleis,Michel Cleis
Gioli & Assia,Gioli & Assia (hybrid live)
Mele,Mele
HUGEL,HUGEL (all night long)
The Blessed Madonna,The Blessed Madonna
Andrea Oliva B2B Gordo,Andrea Oliva B2B Gordo
Ale De Tugli,Ale De Tugli
Nikki Carvell,Nikki Carvell
FJAAK,FJAAK
Sama’ Abdulhadi,Sama’ Abdulhadi
Marcel Dettmann,Marcel Dettmann
Loods,Loods
Steve Lee,Steve Lee
Jack Disley,Jack Disley
John Digweed,John Digweed
Greta Levska,Greta Levska
Tripolism,Tripolism
A.M.C.,A.M.C.
Vibe Chemistry,Vibe Chemistry
Koven,Koven
Connor Coates,Connor Coates
EDD,EDD
Martin Ikin,Martin Ikin
Jack Tennis,Jack Tennis
Agents Of Time,Agents Of Time
Dyzen,Dyzen
The Element,The Element
Kid Fonque B2B Atmos Blaq,Kid Fonque B2B Atmos Blaq
Alex Farell,Alex Farell
DJ Local B,DJ Local B
TDJ,TDJ
Vaseli,Vaseli
Yasmin Gardezi,Yasmin Gardezi
BPM DJs,BPM DJs
East End Dubs B2B Ben Sterling,East End Dubs B2B Ben Sterling
Bontan,Bontan
Archie Hamilton B2B Seb Zito,Archie Hamilton B2B Seb Zito
Luuk Van Dijk B2B Mason Maynard,Luuk Van Dijk B2B Mason Maynard
Billen Ted,Billen Ted
Nick Warren B2B Hernán Cattáneo,Nick Warren B2B Hernán Cattáneo
Bakermat,Bakermat
Jean Pierre,Jean Pierre
Benny Benassi,Benny Benassi 
Boyz Noize,Boyz Noize 
Dombresky,Dombresky 
THEMBA,THEMBA
DJ Kent,DJ Kent
Westend,Westend
Ross From Friends,Ross From Friends (live)
Collé,Collé
Hank,Hank
Tyler West (host),Tyler West (host)
The Brothers Maklovitch,The Brothers Maklovitch
Sunny Cheeba,Sunny Cheeba
Enzo Siragusa,Enzo Siragusa
Priku B2B Arapu,Priku B2B Arapu
Ricardo Villalobos B2B Luciano,Ricardo Villalobos B2B Luciano
HAAi,HAAi
Hector Couto B2B Brisotti,Hector Couto B2B Brisotti
Special Request,Special Request
Inafekt,Inafekt
Franky Wah,Franky Wah (all night long)
Kilimanjaro,Kilimanjaro
Culture Shock,Culture Shock
Oko,Oko
Eats Everything B2B Paul Woolford,Eats Everything B2B Paul Woolford
Flight Facilities,Flight Facilities (DJ set)
Henri Bergmann,Henri Bergmann
Øostil,Øostil
Cinthie,Cinthie
Dunmore Brothers B2B Rio Tashan,Dunmore Brothers B2B Rio Tashan
Louie Vega & Anané,Louie Vega & Anané
Jezza & Jod,Jezza & Jod
Doco,Doco
Hot Since B2B Ilario Alicante,Hot Since B2B Ilario Alicante
Liu,Liu
Evpro,Evpro
Paul van Dyk,Paul van Dyk (all night long)
Shay Sade,Shay Sade
Fred Lenix,Fred Lenix
Avision,Avision
Carlo Lio,Carlo Lio
Jamiie B2B Fiona Kraft,Jamiie B2B Fiona Kraft
DJ Pappa,DJ Pappa
Kittin,Kittin
Jonjo Jury,Jonjo Jury
Joshua James,Joshua James
Germano Ventura,Germano Ventura
Marco Faraone B2B Chris Avantgarde,Marco Faraone B2B Chris Avantgarde
Louis Millne,Louis Millne
Cody Wong,Cody Wong
Jonny Burn B2B Matty Robson,Jonny Burn B2B Matty Robson
Jnr Windross,Jnr Windross
Boon,Boon
Steven Cee,Steven Cee
Jazzy,Jazzy 
Sota,Sota
[IVY],[IVY]
Tough Love,Tough Love
JVNGLE,JVNGLE (DJ set)
Lee Foss B2B Mambo Brothers,Lee Foss B2B Mambo Brothers
CASSIMM B2B Juliet Sikora,CASSIMM B2B Juliet Sikora
Shir Khan,Shir Khan
Louie Vega B2B The Blessed Madonna,Louie Vega B2B The Blessed Madonna
Macy Lancaster,Macy Lancaster
Jamie Jones B2B Loco Dice,Jamie Jones B2B Loco Dice
"Apollonia (Dan Ghenacia, Dyed Soundorom & Shonky)","Apollonia (Dan Ghenacia, Dyed Soundorom & Shonky)"
220 Kid,220 Kid
Lovely Laura & Ben Santiago,Lovely Laura & Ben Santiago
John 00 Fleming,John 00 Fleming
David Moreno B2B Special Guest,David Moreno B2B Special Guest
Marco Bailey,Marco Bailey
Rebeca Ark,Rebeca Ark
Hilit Kolet,Hilit Kolet
Sante Sansone,Sante Sansone
Ewan McVicar,Ewan McVicar (all night long)
Felix Da Housecat,Felix Da Housecat
Georgey,Georgey
Charlie Webb,Charlie Webb
Charles Burrows,Charles Burrows
Josh E,Josh E
Morgs,Morgs
Raffers,Raffers
Charlie Fenwick,Charlie Fenwick
Joe Fenwick,Joe Fenwick
Delore,Delore
Ollie Tilley,Ollie Tilley
DJ Harvey,DJ Harvey
Rich Medina,Rich Medina
Joshua Lang,Joshua Lang
Cerrot,Cerrot
François X,François X
Ronnie Pacitti,Ronnie Pacitti (special guest)
Sasha,Sasha
Pola & Bryson,Pola & Bryson
Emily Makis,Emily Makis
Paul Woolford B2B Melé,Paul Woolford B2B Melé
Dombresky B2B Bastian Bux,Dombresky B2B Bastian Bux
Tube & Burger B2B Alec Monopoly,Tube & Burger B2B Alec Monopoly
Aspend & Phante,Aspend & Phante
Woody & Kyle (Bastille DJ set),Woody & Kyle (Bastille DJ set)
Skepta,Skepta (DJ set)
Mason Maynard,Mason Maynard
Alok,Alok
Chapter & Verse,Chapter & Verse
Galantis,Galantis
John O'Callaghan,John O'Callaghan
Alex M.O.R.P.H.,Alex M.O.R.P.H.
Chris Bekker,Chris Bekker
Neverdogs,Neverdogs
Kristin Velvet,Kristin Velvet
De la Swing,De la Swing
Joris Voorn,Joris Voorn (all night long)
Andrea Oliva B2B Ilario Alicante,Andrea Oliva B2B Ilario Alicante
Mas Que Nada Brothers,Mas Que Nada Brothers
Waajeed,Waajeed
Ben Westbeech,Ben Westbeech
O.Bee & Tomas Station,O.Bee & Tomas Station
Elli Acula,Elli Acula
Sara Landry,Sara Landry
Tapefeed,Tapefeed
Young Marco,Young Marco
Kayley Harriet,Kayley Harriet
Camrin Watsin,Camrin Watsin
Hix,Hix
Turno,Turno
Claptone B2B Solardo,Claptone B2B Solardo
Claptone B2B Chelina Manuhutu,Claptone B2B Chelina Manuhutu
Claptone B2B David Penn,Claptone B2B David Penn
Adam Ten,Adam Ten
MK B2B Eliza Rose,MK B2B Eliza Rose
Arthi,Arthi
Serge Devant,Serge Devant
East End Dubs,East End Dubs (4 hour set)
Gaskin,Gaskin
Mia Moretti,Mia Moretti
Marlon Hoffstadt,Marlon Hoffstadt
Da Africa Deep,Da Africa Deep
Ben Sterling B2B Jackmaster,Ben Sterling B2B Jackmaster
Ilario Alicante,Ilario Alicante (all night long)
Breakbot & Irfane,Breakbot & Irfane
Busy P,Busy P
Eli Escobar,Eli Escobar
Rimarkable,Rimarkable
Lucia Lu,Lucia Lu
Parfait,Parfait
Regal,Regal
SNTS,SNTS
Barry Can't Swim,Barry Can't Swim
Chopper,Chopper
DXNBY B2B Ozzie Guven,DXNBY B2B Ozzie Guven
Seb Zito,Seb Zito
Shugz,Shugz (special guest)
Dan Ambrose,Dan Ambrose
Ant Armstrong,Ant Armstrong
Kaci Lynch,Kaci Lynch
Drew Mooney,Drew Mooney
LF System,LF System 
Main Phase,Main Phase
Serum,Serum
Voltage,Voltage
Harriet Jaxxon,Harriet Jaxxon
Lange B2B Signum,Lange B2B Signum
Y-Traxx,Y-Traxx
Sean Hughes,Sean Hughes
Ibiza Trance Event DJs,Ibiza Trance Event DJs
Fragma,Fragma (live PA)
Ultrabeat,Ultrabeat
Rob Tissera B2B Dale Castell,Rob Tissera B2B Dale Castell
James Dean,James Dean
Marco Loco,Marco Loco
Josh Gigante,Josh Gigante
Yours,Yours (live)
Harriet Rose,Harriet Rose
Dixon Brothers,Dixon Brothers
Samuele Scelfo,Samuele Scelfo
Guy Laliberté,Guy Laliberté
Khainz,Khainz
Frank Storm,Frank Storm
Kevin Saunderson,Kevin Saunderson
Roisin Murphy,Roisin Murphy (live PA)
Natalie Robinson,Natalie Robinson
Flip N Fill,Flip N Fill
Ian Van Dahl,Ian Van Dahl
N-Trance (special guests),N-Trance (special guests)
Keyes (host),Keyes (host)
Aline Rocha,Aline Rocha
Danny Krivit,Danny Krivit
Hifi Sean,Hifi Sean
Mike Dunn,Mike Dunn
There Is No Planet Earth,There Is No Planet Earth
Lilly Palmer,Lilly Palmer
Perry,Perry
Christian Rodgers B2B Ronnie Pacitti,Christian Rodgers B2B Ronnie Pacitti
Franky Wah B2B Denis Horvat B2B Artche B2B Tripolism,Franky Wah B2B Denis Horvat B2B Artche B2B Tripolism
Chris Lorenzo,Chris Lorenzo
Caiiro,Caiiro
goddard.,goddard.
Dread MC,Dread MC
Cajmere,Cajmere
Sam Divine B2B Hannah Wants B2B Low Steppa,Sam Divine B2B Hannah Wants B2B Low Steppa
Jamie Jones B2B Joseph Capriati,Jamie Jones B2B Joseph Capriati
Robert James,Robert James
Kadebostany,Kadebostany
Manoo,Manoo
Kings Of House NYC,Kings Of House NYC (Louie Vega & David Morales)
Andrea Oliva B2B Mahmut Orhan,Andrea Oliva B2B Mahmut Orhan
Nic Fanciulli B2B Cloonee,Nic Fanciulli B2B Cloonee
Groove Assassin,Groove Assassin
Groove Armada B2B Eats Everything,Groove Armada B2B Eats Everything
Smokin Jo,Smokin Jo
Francesco Farfa,Francesco Farfa
Franco Cinelli,Franco Cinelli
Marco Carola,Marco Carola (all night long)
Peggy Gou,Peggy Gou
